name_document,len_tess,len_llm,levenshtein_distance,normalized_levenshtein,jaro_winkler_similarity,word_error_rate,sequence_matcher_ratio,length_difference,key,layout,binary
rsc37_rsc176_631.txt,4281,3902,1036,0.2419995328194347,0.8775887602875058,0.532156368221942,0.46388854943174873,-379,binarysimple_cut,1,1
rsc37_rsc176_871.txt,2570,2409,843,0.32801556420233463,0.8121735191824484,0.6257928118393234,0.29443663386222135,-161,binarysimple_cut,1,1
rsc37_rsc176_806.txt,3265,2903,1173,0.3592649310872894,0.7780505283071849,0.6191335740072202,0.2697795071335927,-362,binarysimple_cut,1,1
rsc37_rsc176_876.txt,3294,2817,820,0.24893746205221615,0.8747221175656525,0.5582137161084529,0.33480608738340695,-477,binarysimple_cut,1,1
rsc37_rsc176_548.txt,3425,3057,640,0.18686131386861313,0.8634494223904314,0.4296998420221169,0.5402653502005554,-368,binarysimple_cut,1,1
rsc37_rsc176_699.txt,3276,2580,1159,0.3537851037851038,0.8553479655740458,0.608318890814558,0.3015710382513661,-696,binarysimple_cut,1,1
rsc37_rsc176_402.txt,3422,3279,786,0.22969023962594973,0.8841315198282466,0.5833333333333334,0.2447395911058051,-143,binarysimple_cut,1,1
rsc37_rsc176_827.txt,3124,2757,1416,0.4532650448143406,0.8500243904299689,0.7317415730337079,0.13807175650399592,-367,binarysimple_cut,1,1
rsc37_rsc176_835.txt,2942,2894,666,0.22637661454792657,0.811203646594509,0.4875717017208413,0.18848526387936942,-48,binarysimple_cut,1,1
rsc37_rsc176_566.txt,2582,2448,858,0.33230054221533695,0.7689171469733734,0.575098814229249,0.24055666003976142,-134,binary_hisam_cut,1,2
rsc37_rsc176_525.txt,2571,2466,316,0.12290937378451965,0.8849500528551262,0.38620689655172413,0.3776057176891007,-105,binary_hisam_cut,1,2
rsc37_rsc176_1043.txt,3670,1782,2391,0.6514986376021799,0.6484185055538921,0.8472400513478819,0.12876008804108585,-1888,binary_hisam_cut,1,2
rsc37_rsc176_399.txt,2306,2118,1558,0.6756287944492628,0.7581809428320039,0.8256880733944955,0.310126582278481,-188,binary_hisam_cut,1,2
rsc37_rsc176_638.txt,1863,1561,1319,0.7079978529253892,0.6748227335925229,0.909952606635071,0.09813084112149532,-302,binary_hisam_cut,1,2
rsc37_rsc176_714.txt,2604,2392,811,0.31144393241167434,0.8639391754062935,0.5817490494296578,0.4143314651721377,-212,binary_hisam_cut,1,2
rsc37_rsc176_595.txt,3631,3284,1030,0.28366841090608647,0.7841210773706746,0.5728155339805825,0.39016630513376716,-347,binary_hisam_cut,1,2
rsc37_rsc176_484.txt,6991,5554,3498,0.5003576026319554,0.8543521079251186,0.7413666421748715,0.15288959744918293,-1437,binary_hisam_cut,1,2
rsc37_rsc176_837.txt,2588,2590,765,0.2953667953667954,0.860495825208645,0.5421686746987951,0.27964465044418696,2,binary_hisam_cut,1,2
rsc37_rsc176_551.txt,2314,2179,919,0.39714779602420053,0.7573215463093094,0.6130536130536131,0.31738259514800804,-135,binary_hisam_cut,1,2
rsc37_rsc176_816.txt,2892,2411,1279,0.44225449515905946,0.7537771477891343,0.6648451730418944,0.3122760701489723,-481,binary_hisam_cut,1,2
rsc37_rsc176_291.txt,3666,3669,884,0.24093758517307168,0.8520378631241818,0.4342688330871492,0.5742331288343558,3,binary_hisam_cut,1,2
rsc37_rsc176_278.txt,2320,2312,594,0.2560344827586207,0.7841455304368999,0.4486873508353222,0.4231433506044905,-8,binary_hisam_cut,1,2
rsc37_rsc176_690.txt,1901,1790,868,0.4566017885323514,0.7467109203042562,0.8491379310344828,0.23354104578704957,-111,binary_hisam_cut,1,2
rsc37_rsc176_867.txt,2322,1906,1043,0.4491817398794143,0.7447336524890118,0.6985138004246284,0.1466414380321665,-416,binary_hisam_cut,1,2
rsc37_rsc176_601.txt,3771,3438,938,0.24874038716520816,0.7735808829349143,0.4860927152317881,0.3653766125676238,-333,binary_hisam_cut,1,2
rsc37_rsc176_390.txt,2175,1837,969,0.44551724137931037,0.7181662372920045,0.7873831775700935,0.18295114656031905,-338,binary_hisam_cut,1,2
rsc37_rsc176_603.txt,3310,3224,508,0.15347432024169183,0.8088819476043483,0.36212624584717606,0.1903887358432813,-86,binary_hisam_cut,1,2
rsc37_rsc176_840.txt,3158,2428,1149,0.363837872070931,0.7531389854290268,0.6340694006309149,0.26673827425707125,-730,binary_hisam_cut,1,2
rsc37_rsc176_283.txt,2677,2723,1864,0.6845391112743298,0.6673349174102725,0.9438943894389439,0.06851851851851852,46,binary_hisam_cut,1,2
rsc37_rsc176_711.txt,2414,2565,612,0.23859649122807017,0.7830174843614746,0.5317286652078774,0.5366539465756176,151,binary_hisam_cut,1,2
rsc37_rsc176_383.txt,2369,2190,586,0.24736175601519628,0.7683373246360382,0.4934782608695652,0.4215836806317175,-179,binary_hisam_cut,1,2
rsc37_rsc176_809.txt,2627,2517,483,0.18385991625428244,0.8863401926063739,0.4297520661157025,0.2632192846034215,-110,binary_hisam_cut,1,2
rsc37_rsc176_589.txt,2898,2360,1452,0.5010351966873706,0.765725516544876,0.7358156028368794,0.11030810193990111,-538,binary_hisam_cut,1,2
rsc37_rsc176_664.txt,2215,2165,639,0.28848758465011287,0.7898144949153435,0.5807962529274004,0.4077625570776256,-50,binary_hisam_cut,1,2
rsc37_rsc176_367.txt,2912,2958,1108,0.3745774171737661,0.7732246407953101,0.6625,0.21669505962521296,46,binary_hisam_cut,1,2
rsc37_rsc176_625.txt,2552,2268,856,0.335423197492163,0.7728611816336213,0.6454918032786885,0.17759336099585063,-284,binary_hisam_cut,1,2
rsc37_rsc176_628.txt,2563,2484,729,0.28443230589153334,0.751385506793515,0.5757575757575758,0.3158311868436695,-79,binary_hisam_cut,1,2
rsc37_rsc176_557.txt,3059,2861,742,0.2425629290617849,0.784798639086068,0.5051369863013698,0.4456081081081081,-198,binary_hisam_cut,1,2
rsc37_rsc176_717.txt,4498,4232,974,0.21654068474877725,0.8761095614961613,0.49236641221374045,0.3418098510882016,-266,binary_hisam_cut,1,2
rsc37_rsc176_361.txt,3572,3509,877,0.24552071668533035,0.7885770312596468,0.48580441640378547,0.3719813585651744,-63,binary_hisam_cut,1,2
rsc37_rsc176_583.txt,2063,1869,876,0.4246243334949103,0.8266660681824212,0.7546296296296297,0.12410986775178026,-194,binary_hisam_cut,1,2
rsc37_rsc176_480.txt,2891,3101,746,0.24056755885198322,0.8011622192169927,0.514792899408284,0.3711615487316422,210,binary_hisam_cut,1,2
rsc37_rsc176_873.txt,7623,5231,4162,0.5459792732520006,0.724421340340375,0.7651363938789089,0.08868834604014314,-2392,binary_hisam_cut,1,2
rsc37_rsc176_477.txt,2575,1990,1248,0.4846601941747573,0.7406601316688329,0.7469135802469136,0.1787513691128149,-585,binary_hisam_cut,1,2
rsc37_rsc176_516.txt,1797,1674,740,0.41179744017807457,0.7479501816887156,0.7191011235955056,0.22587150677038317,-123,binary_hisam_cut,1,2
rsc37_rsc176_686.txt,2397,1674,1366,0.5698790154359616,0.7037828410443593,0.7751937984496124,0.1601572095308278,-723,binary_hisam_cut,1,2
rsc37_rsc176_598.txt,2672,2296,907,0.33944610778443113,0.759980665175731,0.681640625,0.19363929146537842,-376,binary_hisam_cut,1,2
rsc37_rsc176_560.txt,2484,2305,460,0.18518518518518517,0.7984585370557826,0.40585774058577406,0.2672791814575068,-179,binary_hisam_cut,1,2
rsc37_rsc176_648.txt,3091,2581,1013,0.32772565512779034,0.7720351962934906,0.5806451612903226,0.1667842031029619,-510,binary_hisam_cut,1,2
rsc37_rsc176_708.txt,2025,1651,1091,0.5387654320987655,0.7361433594883734,0.8270509977827051,0.056583242655059846,-374,binary_hisam_cut,1,2
rsc37_rsc176_501.txt,2601,2797,970,0.34680014301036827,0.767060590697199,0.6770833333333334,0.1715450166728418,196,binary_hisam_cut,1,2
rsc37_rsc176_364.txt,4733,4428,1017,0.2148742869216142,0.7995281769446937,0.5378531073446328,0.29865735181748715,-305,binary_hisam_cut,1,2
rsc37_rsc176_336.txt,2030,1942,429,0.21133004926108373,0.8785279069914134,0.5195530726256983,0.24420946626384693,-88,binary_hisam_cut,1,2
rsc37_rsc176_702.txt,2605,2541,355,0.1362763915547025,0.8904805808692441,0.3860369609856263,0.6537116206762534,-64,binary_hisam_cut,1,2
rsc37_rsc176_830.txt,2701,2581,411,0.15216586449463163,0.804167332416629,0.41875,0.3017796289284362,-120,binary_hisam_cut,1,2
rsc37_rsc176_734.txt,2829,2696,425,0.15022976316719688,0.8907057780713403,0.3777372262773723,0.5820814479638009,-133,binary_hisam_cut,1,2
rsc37_rsc176_635.txt,2017,1796,852,0.4224095190877541,0.7583006403717327,0.6600496277915633,0.2858641489640703,-221,binary_hisam_cut,1,2
rsc37_rsc176_490.txt,1980,1880,650,0.3282828282828283,0.8608409967536508,0.6072423398328691,0.22746113989637307,-100,binary_hisam_cut,1,2
rsc37_rsc176_725.txt,2091,1790,852,0.40746054519368724,0.7338460151624928,0.644927536231884,0.10718886884823499,-301,binary_hisam_cut,1,2
rsc37_rsc176_728.txt,2215,1941,601,0.2713318284424379,0.7866007515273736,0.5555555555555556,0.5789220404234842,-274,binary_hisam_cut,1,2
rsc37_rsc176_606.txt,3473,3039,813,0.23409156348977828,0.8150030608444994,0.4583333333333333,0.6618550368550369,-434,binary_hisam_cut,1,2
rsc37_rsc176_693.txt,2886,2718,907,0.3142758142758143,0.7740699503781306,0.5855855855855856,0.24089935760171305,-168,binary_hisam_cut,1,2
rsc37_rsc176_843.txt,2779,2790,653,0.23405017921146953,0.8007228530101692,0.498015873015873,0.14221583767283175,11,binary_hisam_cut,1,2
rsc37_rsc176_722.txt,2687,6966,4801,0.6892047085845535,0.6160260983238738,2.424015009380863,0.4158292758727857,4279,binary_hisam_cut,1,2
rsc37_rsc176_293.txt,4267,3770,862,0.20201546754159833,0.796565806661127,0.4856770833333333,0.31031479407739204,-497,binary_hisam_cut,1,2
rsc37_rsc176_631.txt,2911,2921,1644,0.5628209517288599,0.6812306072190873,0.7491525423728813,0.06378600823045268,10,binary_hisam_cut,1,2
rsc37_rsc176_871.txt,2509,1850,1826,0.7277799920286967,0.7410560161596432,0.9163265306122449,0.19775177793071805,-659,binary_hisam_cut,1,2
rsc37_rsc176_806.txt,2620,2395,630,0.24045801526717558,0.7922628139775529,0.5088408644400786,0.3940179461615155,-225,binary_hisam_cut,1,2
rsc37_rsc176_876.txt,3165,3362,742,0.22070196311719215,0.8751666044206876,0.49731663685152055,0.2206220315612073,197,binary_hisam_cut,1,2
rsc37_rsc176_548.txt,2805,2704,654,0.23315508021390374,0.7941553983974798,0.3684210526315789,0.3202033036848793,-101,binary_hisam_cut,1,2
rsc37_rsc176_699.txt,2170,1595,1196,0.5511520737327189,0.7158226276766418,0.7677419354838709,0.22257636122177954,-575,binary_hisam_cut,1,2
rsc37_rsc176_402.txt,3848,2945,1515,0.3937110187110187,0.7420367167541227,0.6652482269503546,0.27881642867657885,-903,binary_hisam_cut,1,2
rsc37_rsc176_827.txt,2158,2310,731,0.3164502164502164,0.754335024832559,0.6080402010050251,0.5241718889883616,152,binary_hisam_cut,1,2
rsc37_rsc176_835.txt,1988,1885,709,0.3566398390342052,0.7301946383566844,0.6479591836734694,0.11102504518461141,-103,binary_hisam_cut,1,2
rsc37_rsc176_566.txt,3166,3074,524,0.1655085281111813,0.8876783323386375,0.3702359346642468,0.22756410256410256,-92,normal,0,0
rsc37_rsc176_525.txt,2969,3062,550,0.17962116263879818,0.8196982916753283,0.4408817635270541,0.4059028353506881,93,normal,0,0
rsc37_rsc176_1043.txt,1879,1783,867,0.46141564662054285,0.7778706524462015,0.6737967914438503,0.2561441835062807,-96,normal,0,0
rsc37_rsc176_399.txt,2977,2991,592,0.19792711467736543,0.8162845474483916,0.494824016563147,0.24564343163538874,14,normal,0,0
rsc37_rsc176_638.txt,203,188,28,0.13793103448275862,0.8653978544137667,0.1875,0.9207161125319693,-15,normal,0,0
rsc37_rsc176_714.txt,3639,3319,711,0.1953833470733718,0.8837608562761489,0.44598765432098764,0.4869215291750503,-320,normal,0,0
