total_length,num_lines,avg_line_length,num_words,avg_word_length,non_ascii_chars,short_lines,garbage_lines,alphabetic_letter_count,filename,version
3147,125,25.176,557,4.308797127468582,55,68,67,2288,rsc37_rsc176_693.txt,binary_simple_cut
3473,149,23.308724832214764,556,4.811151079136691,69,86,84,2560,rsc37_rsc176_843.txt,binary_simple_cut
3441,150,22.94,638,3.987460815047022,75,80,71,2427,rsc37_rsc176_722.txt,binary_simple_cut
4997,143,34.94405594405595,858,4.6223776223776225,54,56,53,3869,rsc37_rsc176_293.txt,binary_simple_cut
4391,178,24.668539325842698,785,4.215286624203822,88,105,104,3158,rsc37_rsc176_631.txt,binary_simple_cut
2701,150,18.006666666666668,457,4.203501094091903,63,94,84,1815,rsc37_rsc176_871.txt,binary_simple_cut
3367,144,23.381944444444443,537,4.798882681564246,98,83,83,2394,rsc37_rsc176_806.txt,binary_simple_cut
3355,127,26.41732283464567,598,4.24247491638796,89,63,65,2418,rsc37_rsc176_876.txt,binary_simple_cut
3477,168,20.696428571428573,621,4.280193236714976,52,86,51,2589,rsc37_rsc176_548.txt,binary_simple_cut
3366,154,21.857142857142858,577,4.46793760831889,64,89,85,2485,rsc37_rsc176_699.txt,binary_simple_cut
3513,131,26.81679389312977,623,4.332263242375602,60,76,74,2578,rsc37_rsc176_402.txt,binary_simple_cut
3214,175,18.365714285714287,615,3.604878048780488,66,87,80,2106,rsc37_rsc176_827.txt,binary_simple_cut
3015,123,24.51219512195122,519,4.475915221579961,60,71,67,2209,rsc37_rsc176_835.txt,binary_simple_cut
